Key: @activityNameId, Value: f1db8b81-5fea-4538-ad67-5c0d1db22fa5, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @classificationId, Value: 9a63625a-358b-4c1d-bf95-50ba038a759b, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @classificationId, Value: 39b0f0ab-1a2f-401b-9f4d-6e39400760a4, Counts (LCI, LCIA, UPR): [1, 1, 4]
Key: @classificationId, Value: 8c8fb31c-3c73-4800-842e-4b7d4980b2c1, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @classificationId, Value: 00700fdf-3c42-5485-bbb5-071250379da9, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @contextId, Value: de659012-50c4-4e96-b54a-fc781bf987ab, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @elementaryExchangeId, Value: 0f440cc0-0f74-446d-99d6-8ff0e97a2444, Counts (LCI, LCIA, UPR): [1, 0, 1]
Key: @elementaryExchangeId, Value: d6235194-e4e6-4548-bfa3-ac095131aef4, Counts (LCI, LCIA, UPR): [1, 0, 1]
Key: @elementaryExchangeId, Value: afd6d670-bbb0-4625-9730-04088a5b035e, Counts (LCI, LCIA, UPR): [1, 0, 1]
Key: @elementaryExchangeId, Value: 0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358, Counts (LCI, LCIA, UPR): [1, 0, 1]
Key: @elementaryExchangeId, Value: 57bdb443-d4a6-423d-8024-959b8261d02e, Counts (LCI, LCIA, UPR): [1, 0, 1]
Key: @geographyId, Value: 131278d6-7d7e-11de-9ae2-0019e336be3a, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @id, Value: 9234a4a0-7860-5096-8054-74ab5e0982b4, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @id, Value: 1691b97d-b3fd-5158-92e0-584f45171c42, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @intermediateExchangeId, Value: 18e1cfa1-498b-4d93-bace-44cd2ae12596, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @isDataValidForEntirePeriod, Value: true, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @macroEconomicScenarioId, Value: d9f57f0a-a01f-42eb-a57b-8f18d6635801, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @parameterId, Value: c44fc5c3-c54c-4416-b606-7603b863acd0, Counts (LCI, LCIA, UPR): [1, 1, 1]
Key: @parameterId, Value: 71f227ad-ad49-46a3-9798-cea311ab5169, Counts (LCI, LCIA, UPR): [1, 1, 1]
